epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4983.48,1.85288,1.67886,0.96893,0.43998,0.68199,0.47126,0.23025,1.37404,7.27706,0.82432,0.0013763,0.0013763,0.0013763
65,5058.94,1.80634,1.60587,0.96105,0.45297,0.64338,0.45493,0.20778,1.38433,6.18516,0.81592,0.0013664,0.0013664,0.0013664
66,5134.86,1.74183,1.55018,0.98505,0.46762,0.71507,0.48774,0.24,1.37213,9.26935,0.8268,0.0013565,0.0013565,0.0013565
67,5211.74,1.72251,1.3836,0.97592,0.44046,0.70037,0.47201,0.23618,1.3737,9.54021,0.82933,0.0013466,0.0013466,0.0013466
68,5288.8,1.74518,1.5956,1.00008,0.43746,0.63787,0.41744,0.19973,1.50575,7.06201,0.8621,0.0013367,0.0013367,0.0013367
69,5364.71,1.76403,1.57131,0.97824,0.45516,0.74449,0.49298,0.25337,1.36035,6.62812,0.82888,0.0013268,0.0013268,0.0013268
70,5440.05,1.77404,1.49378,0.97159,0.44459,0.74449,0.48674,0.25594,1.30817,16.3132,0.81393,0.0013169,0.0013169,0.0013169
71,5514.2,1.62888,1.33863,1.00809,0.42505,0.71324,0.45674,0.24931,1.28277,20.9194,0.81616,0.001307,0.001307,0.001307
72,5590.1,1.79367,1.75604,1.01058,0.42702,0.76581,0.49382,0.25584,1.36689,13.8547,0.83822,0.0012971,0.0012971,0.0012971
73,5664.39,1.59192,1.39355,1.0056,0.44827,0.77757,0.52703,0.27384,1.3061,12.585,0.82288,0.0012872,0.0012872,0.0012872
74,5739.69,1.69555,3.06111,1.00688,0.44777,0.73529,0.4804,0.26229,1.34453,6.58847,0.81778,0.0012773,0.0012773,0.0012773
75,5815.09,1.76292,1.66727,0.96806,0.46167,0.74632,0.50283,0.27934,1.32599,4.66859,0.82325,0.0012674,0.0012674,0.0012674
76,5891.08,1.7628,1.5745,0.98061,0.44041,0.70404,0.50924,0.25363,1.35963,16.1874,0.82431,0.0012575,0.0012575,0.0012575
77,5967.01,1.77905,1.49064,1.00316,0.45106,0.71597,0.5082,0.24494,1.31986,18.1367,0.82018,0.0012476,0.0012476,0.0012476
78,6043.31,1.59854,1.50561,0.95428,0.45563,0.67463,0.48697,0.25843,1.26761,10.6982,0.82255,0.0012377,0.0012377,0.0012377
79,6119.19,1.74108,1.47471,0.99257,0.45969,0.71507,0.49177,0.24592,1.35262,7.22308,0.82157,0.0012278,0.0012278,0.0012278
80,6194.41,1.68846,1.41391,0.99212,0.45979,0.74265,0.48646,0.26562,1.3263,8.79932,0.8202,0.0012179,0.0012179,0.0012179
81,6269.55,1.7299,1.3627,0.97314,0.46041,0.70772,0.48402,0.26113,1.31807,8.33926,0.82051,0.001208,0.001208,0.001208
82,6343.54,1.67234,1.33036,0.94378,0.48866,0.73162,0.50846,0.27863,1.23041,7.67391,0.81094,0.0011981,0.0011981,0.0011981
83,6417.92,1.62674,1.38846,0.94602,0.50634,0.7261,0.52034,0.2847,1.27964,5.45407,0.80436,0.0011882,0.0011882,0.0011882
84,6491.77,1.71038,1.47298,0.93919,0.47271,0.77941,0.53206,0.28211,1.26493,5.47362,0.80233,0.0011783,0.0011783,0.0011783
85,6567.15,1.70664,1.38827,0.94603,0.44516,0.76287,0.51231,0.27206,1.30277,8.55099,0.80506,0.0011684,0.0011684,0.0011684
86,6642.61,1.64798,1.3926,0.98727,0.44886,0.69118,0.49248,0.24582,1.31178,7.9854,0.8035,0.0011585,0.0011585,0.0011585
87,6716.71,1.66345,1.44096,0.97165,0.46982,0.78493,0.52831,0.26211,1.31192,7.53164,0.80682,0.0011486,0.0011486,0.0011486
88,6791.58,1.70547,1.43286,0.96759,0.47364,0.79779,0.53546,0.28181,1.2418,8.76976,0.80448,0.0011387,0.0011387,0.0011387
89,6864.96,1.62934,1.31853,0.95131,0.4756,0.77857,0.54488,0.28454,1.30692,11.6183,0.79739,0.0011288,0.0011288,0.0011288
90,6939.63,1.55924,1.34835,0.95177,0.47979,0.81618,0.54479,0.30293,1.22301,10.7081,0.78802,0.0011189,0.0011189,0.0011189
91,7013.84,1.58737,1.31058,0.96717,0.47486,0.7739,0.52833,0.29237,1.24726,9.56988,0.79403,0.001109,0.001109,0.001109
92,7089.68,1.61679,1.33009,0.9999,0.46036,0.79044,0.52357,0.29126,1.24385,10.5357,0.79587,0.0010991,0.0010991,0.0010991
93,7165.19,1.70368,1.51546,0.96152,0.45597,0.78309,0.52356,0.28083,1.30361,6.18599,0.81783,0.0010892,0.0010892,0.0010892
94,7240.66,1.60338,1.3203,0.95059,0.46332,0.77206,0.51898,0.28926,1.27897,5.36048,0.80948,0.0010793,0.0010793,0.0010793
95,7315.04,1.60112,1.373,0.95156,0.4759,0.77757,0.52129,0.28695,1.28306,5.39999,0.81038,0.0010694,0.0010694,0.0010694
