epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,2615.27,1.57152,0.96116,0.95889,0.8671,0.79158,0.87902,0.46176,1.51958,0.92377,0.94714,0.0014753,0.0014753,0.0014753
55,2648.17,1.60693,0.9371,0.97285,0.86426,0.80758,0.87964,0.45853,1.52559,0.94876,0.94548,0.0014654,0.0014654,0.0014654
56,2668.59,1.777,0.98936,0.96197,0.88951,0.81394,0.89916,0.49337,1.45945,0.88804,0.9376,0.0014555,0.0014555,0.0014555
57,2692.29,1.67119,0.92414,0.94778,0.89345,0.84773,0.90778,0.44548,1.58744,0.89087,0.96582,0.0014456,0.0014456,0.0014456
58,2722.85,1.65886,0.95542,1.00665,0.89649,0.84007,0.9039,0.42801,1.60688,0.91145,0.97014,0.0014357,0.0014357,0.0014357
59,2743.01,1.647,0.91788,0.95128,0.90605,0.83319,0.91319,0.4873,1.45019,0.88184,0.94142,0.0014258,0.0014258,0.0014258
60,2763.04,1.71177,0.96338,0.99111,0.90254,0.81707,0.90834,0.49813,1.44952,0.88712,0.94448,0.0014159,0.0014159,0.0014159
61,2782.62,1.64245,0.90876,0.96479,0.84496,0.81151,0.88438,0.46209,1.49295,0.91093,0.9489,0.001406,0.001406,0.001406
62,2802.45,1.55461,0.88491,0.93723,0.84201,0.82295,0.88593,0.4483,1.54092,0.91374,0.96081,0.0013961,0.0013961,0.0013961
63,2822.2,1.6803,0.9186,0.94205,0.87386,0.82353,0.89681,0.46887,1.49746,0.88656,0.95378,0.0013862,0.0013862,0.0013862
64,2842.17,1.69744,0.93514,0.93194,0.9118,0.82537,0.90874,0.49234,1.46584,0.85102,0.94161,0.0013763,0.0013763,0.0013763
65,2861.71,1.62783,0.90444,0.93249,0.92705,0.84091,0.9293,0.50022,1.43229,0.84988,0.93501,0.0013664,0.0013664,0.0013664
66,2881.58,1.47047,0.874,0.93908,0.92231,0.85109,0.9337,0.5145,1.41463,0.83059,0.92853,0.0013565,0.0013565,0.0013565
67,2901.22,1.56722,0.8745,0.94476,0.9228,0.84926,0.92813,0.53057,1.38391,0.80572,0.92526,0.0013466,0.0013466,0.0013466
68,2920.76,1.58661,0.86244,0.92876,0.92545,0.85662,0.9328,0.52157,1.43293,0.8046,0.93136,0.0013367,0.0013367,0.0013367
69,2940.22,1.58412,0.8638,0.9235,0.90786,0.875,0.93902,0.5115,1.42161,0.79564,0.92613,0.0013268,0.0013268,0.0013268
70,2959.87,1.60569,0.87988,0.93525,0.92167,0.88678,0.94108,0.51305,1.40729,0.78658,0.92369,0.0013169,0.0013169,0.0013169
71,2979.66,1.53136,0.81245,0.92157,0.92346,0.90074,0.94235,0.52628,1.36539,0.77229,0.91874,0.001307,0.001307,0.001307
72,3001.51,1.56114,0.82946,0.92491,0.92084,0.87316,0.92315,0.51395,1.37202,0.78892,0.9206,0.0012971,0.0012971,0.0012971
73,3022.22,1.52993,0.81468,0.92119,0.89894,0.88295,0.91827,0.50937,1.37977,0.79762,0.92394,0.0012872,0.0012872,0.0012872
74,3042.2,1.54914,0.84532,0.92842,0.91343,0.86581,0.92069,0.52547,1.35421,0.79396,0.91897,0.0012773,0.0012773,0.0012773
75,3062.09,1.54578,0.8477,0.95295,0.90796,0.86581,0.92467,0.5275,1.36435,0.79116,0.91807,0.0012674,0.0012674,0.0012674
76,3082.06,1.57938,0.86774,0.94946,0.93309,0.85662,0.93216,0.5296,1.3594,0.78659,0.91563,0.0012575,0.0012575,0.0012575
77,3101.93,1.5684,0.85708,0.92709,0.93436,0.87316,0.93235,0.51729,1.39338,0.7897,0.91996,0.0012476,0.0012476,0.0012476
78,3121.39,1.58882,0.88152,0.94245,0.93865,0.875,0.93657,0.50958,1.42786,0.80011,0.92667,0.0012377,0.0012377,0.0012377
79,3141.04,1.59989,0.82969,0.94574,0.92287,0.88787,0.93803,0.52802,1.37926,0.79771,0.91753,0.0012278,0.0012278,0.0012278
80,3160.8,1.58409,0.84325,0.92719,0.94278,0.85846,0.93373,0.51083,1.41475,0.81273,0.9208,0.0012179,0.0012179,0.0012179
81,3180.46,1.5624,0.82446,0.9492,0.91682,0.85095,0.92823,0.48294,1.4362,0.81845,0.91885,0.001208,0.001208,0.001208
82,3200.11,1.54503,0.82439,0.92751,0.90196,0.86246,0.91405,0.46525,1.46117,0.81845,0.92525,0.0011981,0.0011981,0.0011981
83,3219.78,1.60266,0.84253,0.91661,0.90646,0.87684,0.9288,0.489,1.42118,0.79366,0.92268,0.0011882,0.0011882,0.0011882
84,3239.38,1.50112,0.82831,0.9284,0.93083,0.89154,0.94725,0.52029,1.36056,0.75331,0.90691,0.0011783,0.0011783,0.0011783
85,3259.01,1.64038,0.83948,0.93119,0.92863,0.88494,0.94632,0.52906,1.36971,0.74951,0.90647,0.0011684,0.0011684,0.0011684
86,3278.64,1.50871,0.82615,0.92973,0.93258,0.88991,0.95455,0.54394,1.35137,0.7481,0.90572,0.0011585,0.0011585,0.0011585
87,3298.31,1.56776,0.83594,0.90588,0.93152,0.90257,0.94958,0.55131,1.3149,0.72855,0.90091,0.0011486,0.0011486,0.0011486
